StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,QID13,対人的援助01,清潔さ02,組織支援行動03,対人的援助04,誠実さ05,組織支援行動06,清潔さ07,誠実さ08,組織支援行動9,清潔さ10,対人的援助11,誠実さ12,誠実さ13,対人的援助14,対人的援助15,誠実さ16,対人的援助17,誠実さ18,対人的援助19,対人的援助20,職務上の配慮21,職務上の配慮22,組織支援行動23,誠実さ24,誠実さ25,職務上の配慮26,職務上の配慮27,職務上の配慮28,職務上の配慮29,組織支援行動30,組織支援行動31,組織支援行動32,組織支援行動33,QID14_1,ランダムID
2024-11-06 16:41:20,2024-11-06 16:47:30,IP Address,100,370,True,2024-11-06 16:47:30,R_4R3AC3bcx1oIBZ1,anonymous,JA,技術部,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,5. つねに行う,5. つねに行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,35,5234
2024-11-06 16:40:10,2024-11-06 16:48:11,IP Address,100,480,True,2024-11-06 16:48:11,R_4MilB4h9lVRPZ0d,anonymous,JA,営業部,3. たまに行う,2. めったに行わない,1. まったく行わない,2. めったに行わない,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,1. まったく行わない,2. めったに行わない,2. めったに行わない,5. つねに行う,5. つねに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,1. まったく行わない,5. つねに行う,3. たまに行う,2. めったに行わない,5. つねに行う,3. たまに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,5. つねに行う,5. つねに行う,5. つねに行う,3. たまに行う,1. まったく行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,50,2076
2024-11-06 16:24:08,2024-11-06 16:50:04,IP Address,100,1556,True,2024-11-06 16:50:05,R_4fToSOQhXivwuHb,anonymous,JA,管理部,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,40,9087
2024-11-06 16:46:29,2024-11-06 16:52:37,IP Address,100,368,True,2024-11-06 16:52:37,R_4OxG2KeBeqqeAYU,anonymous,JA,技術部,3. たまに行う,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,1. まったく行わない,3. たまに行う,2. めったに行わない,3. たまに行う,30,9891
2024-11-06 16:52:33,2024-11-06 17:00:01,IP Address,100,447,True,2024-11-06 17:00:02,R_4f7deDEgGz4TO3u,anonymous,JA,技術部,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,3. たまに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,40,9092
2024-11-06 16:55:30,2024-11-06 17:04:50,IP Address,100,560,True,2024-11-06 17:04:51,R_4gdvYeRC7KCIf4B,anonymous,JA,技術部,5. つねに行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,3. たまに行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,3. たまに行う,2. めったに行わない,10,1207
2024-11-06 17:02:14,2024-11-06 17:08:31,IP Address,100,377,True,2024-11-06 17:08:32,R_4YMyKpZtZ4YFJsR,anonymous,JA,開発2部,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,3. たまに行う,5. つねに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,5. つねに行う,5. つねに行う,3. たまに行う,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,2. めったに行わない,1. まったく行わない,1. まったく行わない,40,3901
2024-11-06 17:14:02,2024-11-06 17:18:04,IP Address,100,242,True,2024-11-06 17:18:05,R_4qdI07GP1cWRJkx,anonymous,JA,営業部,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,5. つねに行う,2. めったに行わない,3. たまに行う,3. たまに行う,5. つねに行う,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,3. たまに行う,4. しばしば行う,5. つねに行う,3. たまに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,20,4688
2024-11-06 16:32:22,2024-11-06 19:00:01,IP Address,100,8858,True,2024-11-06 19:00:02,R_4DBj73XRW804yZa,anonymous,JA,製造部,5. つねに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,3. たまに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,3. たまに行う,5. つねに行う,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,2. めったに行わない,1. まったく行わない,2. めったに行わない,45,4910
2024-11-07 08:31:16,2024-11-07 08:34:57,IP Address,100,220,True,2024-11-07 08:34:57,R_48L0ou0gQkPtpi9,anonymous,JA,技術部,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,5. つねに行う,5. つねに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,3. たまに行う,5. つねに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,50,8269
2024-11-07 08:30:25,2024-11-07 08:36:14,IP Address,100,349,True,2024-11-07 08:36:15,R_4Jf04wnelkcTWoh,anonymous,JA,技術部,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,5. つねに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,1. まったく行わない,3. たまに行う,2. めったに行わない,3. たまに行う,30,6858
2024-11-07 08:32:50,2024-11-07 08:38:35,IP Address,100,345,True,2024-11-07 08:38:36,R_4CpsBm4WYnAmxHl,anonymous,JA,管理部,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,4. しばしば行う,3. たまに行う,1. まったく行わない,3. たまに行う,1. まったく行わない,65,3698
2024-11-07 08:45:27,2024-11-07 08:59:17,IP Address,100,829,True,2024-11-07 08:59:17,R_4j6UbuXwKO8Nbhf,anonymous,JA,管理部,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,5. つねに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,5. つねに行う,3. たまに行う,2. めったに行わない,5. つねに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,76,1279
2024-11-07 09:16:34,2024-11-07 09:19:43,IP Address,100,188,True,2024-11-07 09:19:43,R_4JmYrZBiqz13xvh,anonymous,JA,製造部,3. たまに行う,2. めったに行わない,4. しばしば行う,3. たまに行う,2. めったに行わない,5. つねに行う,5. つねに行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,1. まったく行わない,3. たまに行う,3. たまに行う,2. めったに行わない,65,2522
2024-11-07 09:27:56,2024-11-07 09:37:57,IP Address,100,600,True,2024-11-07 09:37:58,R_4xXWfMeXKVOwtBD,anonymous,JA,製造部,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,40,3541
2024-11-07 08:33:23,2024-11-07 09:58:01,IP Address,100,5077,True,2024-11-07 09:58:01,R_4s2RyNqTmIPGRdT,anonymous,JA,製造部,4. しばしば行う,5. つねに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,5. つねに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,5. つねに行う,3. たまに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,2. めったに行わない,4. しばしば行う,3. たまに行う,1. まったく行わない,60,6571
2024-11-07 10:06:16,2024-11-07 10:13:39,IP Address,100,442,True,2024-11-07 10:13:39,R_4lEReYVU4OYyPg3,anonymous,JA,製造部,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,2. めったに行わない,3. たまに行う,4. しばしば行う,3. たまに行う,50,6088
2024-11-07 10:11:16,2024-11-07 10:19:31,IP Address,100,495,True,2024-11-07 10:19:32,R_4RqEarzVRPPqVkm,anonymous,JA,管理部,2. めったに行わない,3. たまに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,1. まったく行わない,3. たまに行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,1. まったく行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,50,3898
2024-11-07 10:52:25,2024-11-07 11:02:03,IP Address,100,578,True,2024-11-07 11:02:03,R_4uwTibsc9ZdI54A,anonymous,JA,営業部,4. しばしば行う,2. めったに行わない,4. しばしば行う,3. たまに行う,5. つねに行う,3. たまに行う,2. めったに行わない,4. しばしば行う,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,5. つねに行う,4. しばしば行う,5. つねに行う,3. たまに行う,3. たまに行う,4. しばしば行う,5. つねに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,2. めったに行わない,50,5226
2024-11-07 11:13:56,2024-11-07 11:20:04,IP Address,100,367,True,2024-11-07 11:20:05,R_4ke1pRMNxPFu5hL,anonymous,JA,営業部,4. しばしば行う,5. つねに行う,5. つねに行う,3. たまに行う,2. めったに行わない,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,1. まったく行わない,3. たまに行う,20,9828
2024-11-07 13:23:12,2024-11-07 13:36:49,IP Address,100,816,True,2024-11-07 13:36:50,R_4dR1tu7dmGIy7Ok,anonymous,JA,製造部,4. しばしば行う,5. つねに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,2. めったに行わない,3. たまに行う,2. めったに行わない,2. めったに行わない,50,6659
2024-11-07 13:56:27,2024-11-07 14:00:31,IP Address,100,244,True,2024-11-07 14:00:32,R_4OknMPEJdtptNwS,anonymous,JA,開発2部,3. たまに行う,2. めったに行わない,4. しばしば行う,3. たまに行う,2. めったに行わない,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,5. つねに行う,3. たまに行う,2. めったに行わない,3. たまに行う,1. まったく行わない,7,4541
2024-11-07 14:20:50,2024-11-07 14:27:38,IP Address,100,407,True,2024-11-07 14:27:38,R_4dMC92mBqlJSmfV,anonymous,JA,開発2部,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,2. めったに行わない,4. しばしば行う,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,50,7689
2024-11-07 09:32:17,2024-11-07 16:15:43,IP Address,100,24205,True,2024-11-07 16:15:43,R_4uyw1ntYAGby6Kf,anonymous,JA,開発2部,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,2. めったに行わない,4. しばしば行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,3. たまに行う,2. めったに行わない,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,2. めったに行わない,70,6180
2024-11-07 18:36:00,2024-11-07 18:42:56,IP Address,100,415,True,2024-11-07 18:42:57,R_4G7ZLlV8L7MjCEI,anonymous,JA,製造部,3. たまに行う,5. つねに行う,3. たまに行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,5. つねに行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,2. めったに行わない,2. めったに行わない,1. まったく行わない,50,1481
2024-11-08 08:08:18,2024-11-08 08:16:28,IP Address,100,490,True,2024-11-08 08:16:29,R_4HC8HnOBzoWcE6v,anonymous,JA,製造部,1. まったく行わない,4. しばしば行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,2. めったに行わない,3. たまに行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,5. つねに行う,2. めったに行わない,5. つねに行う,1. まったく行わない,2. めったに行わない,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,3. たまに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,2. めったに行わない,2. めったに行わない,1. まったく行わない,1. まったく行わない,90,3013
2024-11-08 08:39:14,2024-11-08 08:42:44,IP Address,100,210,True,2024-11-08 08:42:44,R_4QSsFkktfLz1pAM,anonymous,JA,営業部,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,40,4812
2024-11-08 08:48:37,2024-11-08 08:55:31,IP Address,100,413,True,2024-11-08 08:55:32,R_47gaTgbiAxcO91v,anonymous,JA,技術部,4. しばしば行う,2. めったに行わない,2. めったに行わない,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,3. たまに行う,2. めったに行わない,2. めったに行わない,4. しばしば行う,3. たまに行う,5. つねに行う,2. めったに行わない,3. たまに行う,4. しばしば行う,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,5. つねに行う,5. つねに行う,5. つねに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,1. まったく行わない,1. まったく行わない,50,9464
2024-11-08 08:57:37,2024-11-08 09:09:44,IP Address,100,727,True,2024-11-08 09:09:44,R_4BwX4wvQpdzdiln,anonymous,JA,派遣/契約社員,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,5. つねに行う,3. たまに行う,5. つねに行う,5. つねに行う,1. まったく行わない,5. つねに行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,5. つねに行う,3. たまに行う,5. つねに行う,3. たまに行う,4. しばしば行う,5. つねに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,2. めったに行わない,1. まったく行わない,2. めったに行わない,2. めったに行わない,1. まったく行わない,70,9339
2024-11-08 09:42:13,2024-11-08 09:46:04,IP Address,100,231,True,2024-11-08 09:46:05,R_48APHdOH5r10XW9,anonymous,JA,開発2部,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,2. めったに行わない,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,2. めったに行わない,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,3. たまに行う,2. めったに行わない,30,4152
2024-11-08 09:58:11,2024-11-08 10:10:22,IP Address,100,731,True,2024-11-08 10:10:23,R_4kBhpiKsaebE4ud,anonymous,JA,派遣/契約社員,2. めったに行わない,5. つねに行う,2. めったに行わない,2. めったに行わない,5. つねに行う,4. しばしば行う,5. つねに行う,4. しばしば行う,1. まったく行わない,4. しばしば行う,2. めったに行わない,4. しばしば行う,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,1. まったく行わない,5. つねに行う,1. まったく行わない,4. しばしば行う,5. つねに行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,5. つねに行う,5. つねに行う,5. つねに行う,2. めったに行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,50,2781
2024-11-08 10:17:53,2024-11-08 10:24:39,IP Address,100,405,True,2024-11-08 10:24:39,R_4s5sLLq54fuF4cV,qr,JA,派遣/契約社員,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,5. つねに行う,3. たまに行う,1. まったく行わない,5. つねに行う,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,5. つねに行う,2. めったに行わない,4. しばしば行う,5. つねに行う,3. たまに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,2. めったに行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,36,7780
2024-11-08 10:30:07,2024-11-08 10:35:22,IP Address,100,315,True,2024-11-08 10:35:23,R_4g7MkusewqeiOA1,qr,JA,派遣/契約社員,4. しばしば行う,5. つねに行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,1. まったく行わない,3. たまに行う,3. たまに行う,1. まったく行わない,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,5. つねに行う,2. めったに行わない,3. たまに行う,2. めったに行わない,2. めったに行わない,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,1. まったく行わない,5. つねに行う,5. つねに行う,3. たまに行う,2. めったに行わない,2. めったに行わない,2. めったに行わない,1. まったく行わない,43,1713
2024-11-08 10:30:27,2024-11-08 10:37:31,IP Address,100,424,True,2024-11-08 10:37:31,R_4rPkVGcWvuyUkUW,qr,JA,派遣/契約社員,3. たまに行う,4. しばしば行う,4. しばしば行う,3. たまに行う,3. たまに行う,2. めったに行わない,3. たまに行う,3. たまに行う,1. まったく行わない,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,3. たまに行う,2. めったに行わない,4. しばしば行う,2. めったに行わない,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,1. まったく行わない,1. まったく行わない,1. まったく行わない,1. まったく行わない,75,3268
2024-11-08 10:40:16,2024-11-08 10:50:59,IP Address,100,643,True,2024-11-08 10:51:00,R_410n4H6ApOG1aEx,qr,JA,製造部,5. つねに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,2. めったに行わない,5. つねに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,4. しばしば行う,5. つねに行う,3. たまに行う,2. めったに行わない,5. つねに行う,1. まったく行わない,5. つねに行う,1. まったく行わない,2. めったに行わない,5. つねに行う,5. つねに行う,2. めったに行わない,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,3. たまに行う,1. まったく行わない,1. まったく行わない,1. まったく行わない,40,1484
2024-11-08 10:18:29,2024-11-08 11:24:06,IP Address,100,3936,True,2024-11-08 11:24:07,R_4I6fvW7T3ZTvEIN,anonymous,JA,営業部,5. つねに行う,3. たまに行う,5. つねに行う,5. つねに行う,3. たまに行う,4. しばしば行う,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,3. たまに行う,5. つねに行う,3. たまに行う,5. つねに行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,5. つねに行う,5. つねに行う,4. しばしば行う,3. たまに行う,4. しばしば行う,4. しばしば行う,4. しばしば行う,30,6984
2024-11-08 11:45:23,2024-11-08 11:54:24,IP Address,100,540,True,2024-11-08 11:54:24,R_41bvwqmt3kcTRmm,anonymous,JA,製造部,4. しばしば行う,3. たまに行う,3. たまに行う,3. たまに行う,5. つねに行う,2. めったに行わない,3. たまに行う,5. つねに行う,3. たまに行う,3. たまに行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,4. しばしば行う,5. つねに行う,3. たまに行う,4. しばしば行う,3. たまに行う,3. たまに行う,5. つねに行う,4. しばしば行う,3. たまに行う,5. つねに行う,5. つねに行う,5. つねに行う,4. しばしば行う,5. つねに行う,4. しばしば行う,4. しばしば行う,2. めったに行わない,3. たまに行う,2. めったに行わない,50,8173
